Date,Price,Date_From,Date_To
2016-02-11,2.44,2016-04-01,2016-04-22
2016-02-11,2.44,2016-04-08,2016-04-29
2016-02-11,2.44,2016-04-15,2016-05-06
2016-02-11,2.44,2016-04-22,2016-05-13
2016-02-11,2.44,2016-04-29,2016-05-20
2016-02-11,2.44,2016-05-06,2016-05-27
2016-02-11,2.44,2016-05-13,2016-06-03
2016-02-11,2.44,2016-05-20,2016-06-10
2016-02-11,2.44,2016-05-27,2016-06-17
2016-02-11,2.44,2016-06-03,2016-06-24
2016-02-11,2.44,2016-06-10,2016-07-01
2016-02-11,2.44,2016-06-17,2016-07-08
2016-02-11,2.44,2016-06-24,2016-07-15
2016-02-11,4.60,2016-02-26,2016-03-18
2016-02-11,4.60,2016-02-26,2016-03-25
2016-02-11,5.03,2016-04-01,2016-04-29
2016-02-11,5.03,2016-04-08,2016-05-06
2016-02-11,5.03,2016-04-15,2016-05-13
2016-02-11,5.03,2016-04-22,2016-05-20
2016-02-11,5.03,2016-04-29,2016-05-27
2016-02-11,5.03,2016-05-06,2016-06-03
2016-02-11,5.03,2016-05-13,2016-06-10
2016-02-11,5.03,2016-05-20,2016-06-17
2016-02-11,5.03,2016-05-27,2016-06-24
2016-02-11,5.03,2016-06-03,2016-07-01
2016-02-11,5.03,2016-06-10,2016-07-08
2016-02-11,5.03,2016-06-17,2016-07-15
2016-02-11,5.03,2016-06-24,2016-07-22
2016-02-11,7.82,2016-02-12,2016-03-04
2016-02-11,7.82,2016-02-12,2016-03-11
2016-02-11,7.82,2016-02-19,2016-03-11
2016-02-11,7.82,2016-02-19,2016-03-18
2016-02-11,9.07,2016-03-25,2016-04-15
2016-02-11,9.86,2016-03-04,2016-03-25
2016-02-11,9.86,2016-03-04,2016-04-01
2016-02-11,9.86,2016-03-11,2016-04-01
2016-02-11,9.86,2016-03-11,2016-04-08
2016-02-11,9.86,2016-03-18,2016-04-08
2016-02-11,9.86,2016-03-18,2016-04-15
2016-02-11,9.86,2016-03-25,2016-04-22
2016-02-11,11.17,2016-10-07,2016-10-28
2016-02-11,11.17,2016-10-14,2016-11-04
2016-02-11,11.17,2016-10-21,2016-11-11
2016-02-11,11.17,2016-10-28,2016-11-18
2016-02-11,12.14,2016-10-07,2016-11-04
